Broadcast_Receiver@0ft,Broadcast_Receiver@64ft,Broadcast_Receiver@100ft,Broadcast _ Receiver @ 164ft
6.14,10.40,4.21,7.54
4.98,3.52,3.75,8.98
4.94,4.23,3.49,2.54
5.03,1.92,5.01,4.00
4.97,2.56,2.19,3.32
5.54,2.99,2.26,2.24
9.04,2.35,1.79,1.72
5.17,4.09,1.86,5.17
5.04,1.78,2.49,5.88
6.18,3.59,1.73,22.10
5.03,2.08,1.66,15.60
4.81,2.54,2.10,6.78
5.43,1.57,5.40,2.10
5.28,1.75,1.62,6.54
4.84,3.64,1.71,32.00
5.50,1.56,3.36,57.30
4.99,2.21,1.64,12.80
5.18,2.19,2.36,57.90
4.98,2.24,1.71,13.20
8.14,1.68,2.24,42.90
4.84,1.75,2.25,65.10
5.57,2.19,4.73,7.51
5.05,2.34,1.94,3.76
5.09,2.19,3.47,4.17
5.52,2.59,3.37,20.20
5.01,1.69,1.63,120.00
4.82,3.16,1.71,1.82
5.52,2.22,1.72,14.60
6.04,2.34,1.62,1.70
5.16,2.99,1.74,4.37
5.07,1.77,1.72,2.44
5.05,1.67,1.74,5.50
5.05,2.72,1.69,2.34
5.16,1.73,1.73,11.43
5.10,4.31,1.64,81.20
5.08,1.80,1.73,41.90
5.12,2.73,1.90,1.63
7.80,1.66,3.00,1.72
4.10,1.74,1.71,35.40
5.02,1.73,1.75,1.78
5.20,3.72,1.70,28.20
4.99,1.75,1.72,1.70
6.70,2.75,1.72,2.38
4.98,3.61,1.87,1.77
5.04,8.46,2.01,2.08
5.13,2.64,1.73,4.78
7.34,2.74,1.63,2.29
5.02,1.86,3.68,1.67
4.97,3.88,1.70,1.67
4.99,2.01,1.63,1.76
5.04,5.36,1.71,1.78
5.90,1.77,1.75,1.64
4.99,3.44,1.69,1.73
5.01,2.21,1.71,43.60
5.40,1.76,1.74,1.64
7.39,1.69,4.11,1.76
5.00,1.76,1.72,3.13
4.98,5.67,3.54,2.57
5.24,1.71,1.84,1.75
4.10,3.30,1.97,1.74
20.70,1.79,3.25,2.25
4.99,1.68,1.73,5.02
4.10,1.75,1.73,7.78
4.99,93.50,1.72,31.80
5.10,1.67,2.64,5.95
5.01,1.86,1.72,6.91
5.00,106.00,2.97,2.37
4.99,70.90,1.67,41.30
4.99,1.74,1.72,1.78
5.03,1.77,2.93,8.16
5.02,1.67,2.66,1.88
5.01,1.78,1.68,12.30
4.96,1.74,1.70,2.01
7.68,1.73,2.93,20.60
5.01,1.73,2.20,7.60
4.99,4.00,2.12,2.11
4.97,1.67,1.63,1.79
5.01,9.76,1.67,1.74
5.43,1.78,3.73,8.95
4.96,1.68,1.63,8.04
5.04,4.12,2.91,8.28
5.01,1.79,1.79,1.69
7.95,1.66,2.12,1.72
5.01,2.22,2.06,3.74
4.10,10.90,1.87,1.63
4.94,3.09,2.75,1.75
4.97,7.05,1.78,1.74
4.98,2.54,1.79,2.55
4.92,2.34,2.41,1.80
5.00,3.57,1.83,3.52
5.07,1.77,3.04,8.28
7.44,1.86,3.17,14.10
5.00,1.75,1.77,1.96
4.93,1.74,1.78,1.84
4.96,2.05,1.79,2.24
5.03,5.03,1.79,39.40
6.56,1.77,2.46,22.40
4.90,1.66,2.32,2.36
4.87,2.79,5.36,1.91
5.29,2.34,1.79,2.23
8.29,1.69,1.80,1.96
4.92,1.76,1.77,1.89
5.06,1.74,1.69,2.42
4.85,1.66,1.64,2.43
4.91,2.12,1.92,1.91
5.02,1.81,2.40,2.50
4.90,1.65,53.60,2.23
5.50,2.64,5.07,1.90
6.02,1.95,1.71,1.88
16.10,3.46,1.66,1.85
6.23,2.42,3.21,1.91
4.92,1.74,5.56,1.81
6.08,1.63,1.71,2.51
4.89,1.72,1.72,3.07
4.95,3.66,16.10,2.49
4.91,1.74,1.65,1.90
4.96,2.53,109.00,1.90
4.95,2.76,1.70,1.80
4.92,2.43,1.63,1.85
5.02,1.78,3.41,1.85
5.17,1.78,2.06,1.82
4.89,3.27,1.64,3.12
4.95,2.03,1.75,2.02
29.80,1.72,2.37,1.77
4.93,1.78,2.18,1.89
5.59,5.71,3.41,1.92
6.48,1.80,7.70,1.84
8.20,5.33,2.21,2.51
5.31,1.73,3.49,1.86
4.95,1.80,1.72,1.78
7.27,2.71,2.44,2.13
5.03,2.76,1.93,1.90
4.93,1.80,1.68,1.78
4.91,1.67,2.65,1.90
4.96,1.73,2.16,2.28
4.94,2.21,2.42,1.83
5.03,2.14,2.48,1.89
4.95,4.78,2.92,1.88
5.58,2.21,40.30,1.80
4.94,4.04,2.90,3.36
28.20,4.84,2.05,1.93
8.32,3.42,1.66,1.77
5.39,3.28,3.92,1.87
4.96,2.24,2.13,1.88
4.88,1.74,1.78,2.33
8.62,1.64,1.75,1.91
5.92,3.82,4.08,1.88
4.86,1.75,1.65,1.80
4.94,5.58,1.71,2.40
5.66,1.72,1.71,1.97
4.93,2.33,1.60,1.92
4.98,2.89,1.72,12.90
4.91,1.96,1.72,1.85
4.94,4.01,2.64,1.76
4.93,74.60,1.71,2.61
4.90,3.87,1.71,4.03
4.90,1.88,2.65,1.81
5.97,2.13,1.70,5.31
4.94,1.90,2.81,1.96
5.35,2.92,1.64,2.52
6.15,3.27,1.68,2.54
4.91,2.79,1.70,1.91
4.88,2.28,1.64,1.78
4.90,1.62,1.66,1.87
4.92,5.03,1.73,2.04
5.39,1.74,1.86,1.84
5.91,2.31,1.68,1.87
4.90,3.66,1.77,1.86
5.64,2.37,1.70,1.76
5.02,1.68,4.76,18.50
4.94,1.76,3.24,1.91
4.96,2.03,2.50,1.96
4.94,2.30,1.69,1.87
5.01,1.73,1.73,1.10
4.90,1.76,2.21,2.61
6.23,1.68,1.63,4.41
5.01,1.75,4.05,11.30
6.00,1.74,1.79,1.77
6.07,1.68,40.30,3.10
4.91,1.79,3.66,1.91
4.93,1.85,1.79,6.09
4.92,1.79,1.99,1.90
4.97,1.81,1.77,1.93
5.67,1.84,2.06,3.00
5.49,1.78,1.47,1.89
5.03,1.79,2.53,1.88
5.68,1.77,2.94,1.83
5.35,1.65,5.50,3.19
4.93,3.17,4.12,2.91
4.96,3.25,2.43,3.94
5.01,3.99,3.83,1.93
4.92,2.35,7.91,1.91
5.15,1.71,2.80,1.77
5.98,1.62,4.09,6.36
4.90,1.73,12.00,2.29
5.95,2.44,3.52,1.86
5.75,1.65,1.67,8.70
4.98,2.99,22.90,3.38
4.99,1.99,1.74,1.82
4.92,2.99,1.95,1.89
4.92,2.12,1.73,1.87
4.93,2.33,1.81,1.81
5.00,1.68,2.59,3.19
4.94,1.71,4.02,1.88
5.77,1.74,1.74,3.87
4.83,1.93,1.65,1.94
5.25,2.94,7.79,2.76
6.84,1.74,1.79,1.85
4.78,1.85,1.64,1.96
4.98,1.65,1.74,1.10
5.32,3.28,5.62,1.81
6.47,1.68,1.73,2.73
4.99,1.62,1.72,1.90
5.12,2.41,1.95,1.81
5.01,3.88,1.66,33.70
5.37,2.43,3.99,12.30
4.91,3.64,1.72,1.83
25.50,4.22,2.67,2.07
4.97,2.04,1.75,1.87
22.15,2.23,3.83,2.32
4.88,2.18,1.74,1.85
4.93,3.69,1.72,2.06
5.18,2.24,1.72,1.79
4.92,4.20,1.65,1.78
4.94,1.81,1.74,2.38
5.02,3.56,1.79,1.74
4.93,3.96,1.66,1.83
4.92,2.87,1.71,1.93
4.92,3.23,1.74,2.57
4.96,1.76,1.68,3.14
4.96,1.80,1.72,1.81
5.60,1.77,1.73,1.75
4.84,4.78,1.63,2.53
4.94,1.55,5.02,1.80
5.01,2.81,10.30,1.75
4.94,4.06,1.71,1.82
12.70,3.22,1.72,6.29
5.21,2.28,3.20,1.70
9.37,5.62,1.65,6.05
5.47,1.75,1.76,1.79
5.43,2.68,1.78,11.10
5.18,6.35,1.69,1.79
4.97,20.70,2.06,2.03
4.93,3.26,2.01,1.71
4.97,5.15,2.49,1.79
4.94,31.40,1.73,1.88
4.95,4.60,1.72,2.12
5.88,1.61,3.29,3.19
5.80,4.34,1.87,1.79
6.47,1.76,54.70,1.71
4.92,2.43,2.63,2.13
4.93,1.77,4.32,1.85
4.91,1.72,1.76,1.72
4.90,1.68,2.31,1.80
4.96,1.73,27.70,1.76
4.90,1.94,2.83,3.41
4.92,1.66,1.65,13.60
5.03,2.79,32.80,1.76
4.90,1.74,2.76,1.66
5.00,1.68,2.48,1.86
4.94,7.56,1.72,1.85
9.81,7.04,5.83,1.74
8.84,1.64,1.61,1.78
8.02,64.30,2.53,1.77
4.97,1.73,1.77,1.70
5.04,1.69,2.20,2.54
4.94,2.07,1.72,1.82
4.91,1.71,2.15,1.67
6.06,93.60,2.46,2.51
4.96,1.71,1.77,1.76
4.95,1.77,9.15,3.63
4.92,1.66,1.65,2.74
4.93,1.72,1.74,4.81
4.95,1.72,2.20,1.72
4.89,2.12,1.66,3.47
6.02,2.27,1.71,3.27
4.94,2.42,3.52,1.73
6.75,1.62,2.96,8.78
4.99,2.80,1.76,1.78
6.85,1.74,1.76,1.68
4.93,2.63,1.66,1.77
4.92,2.34,5.64,4.18
4.87,1.74,1.71,1.77
4.98,1.65,3.46,2.32
4.99,2.90,1.76,1.74
4.98,1.79,2.07,1.81
4.89,1.75,1.64,2.19
4.93,1.85,1.71,1.76
4.92,2.24,3.06,1.68
4.96,1.71,1.66,1.89
4.98,2.07,3.80,4.37
5.05,1.60,3.13,1.75
4.86,1.71,7.03,1.75
7.77,1.71,3.41,2.58
4.96,1.63,1.76,1.71
5.13,3.51,2.99,2.80
5.07,3.31,1.73,1.92
4.91,2.16,1.72,1.66
5.79,2.36,60.00,1.73
5.47,1.71,2.28,2.83
5.40,2.74,2.35,1.79
4.98,1.71,2.74,6.96
4.95,1.71,2.77,1.80
14.70,1.72,1.76,2.29
5.83,1.85,2.77,4.28
5.08,1.67,73.80,1.78
5.17,2.17,37.00,2.23
5.32,1.75,7.74,1.63
5.95,1.73,16.10,6.68
4.97,3.21,4.08,1.46
4.91,3.84,3.06,3.29
4.93,1.73,4.70,1.55
4.88,2.04,2.20,2.30
4.92,1.70,31.00,2.25
4.95,1.55,6.22,2.13
5.73,2.14,7.75,1.98
4.88,1.65,47.00,1.75
5.37,1.74,109.00,4.78
4.99,1.64,42.60,5.56
4.91,2.21,21.50,1.63
4.92,1.67,53.80,6.81
4.87,2.04,4.75,3.07
4.92,1.72,3.32,3.45
5.75,1.72,4.27,3.53
11.80,1.70,6.35,2.81
5.13,3.97,2.32,6.38
6.00,1.72,1.73,7.66
4.92,4.27,7.82,2.51
4.87,2.22,10.80,2.54
5.32,1.71,16.60,1.59
4.97,2.13,5.85,59.70
4.87,1.75,4.40,44.00
5.53,6.07,5.10,3.48
5.25,1.63,6.16,21.10
4.88,2.97,1.77,2.31
5.18,4.86,1.76,4.32
4.88,1.69,1.71,2.27
4.98,1.72,1.78,4.97
4.86,1.86,1.79,4.44
4.91,1.66,1.70,1.62
4.91,1.71,1.73,1.79
5.10,1.87,1.78,1.79
6.29,1.64,1.65,3.21
5.25,1.72,1.89,1.57
4.88,1.75,1.82,1.61
4.94,1.59,2.13,1.72
4.83,1.98,1.81,2.38
5.84,120.00,1.76,4.66
4.79,1.64,3.04,18.10
5.04,1.73,3.45,1.79
5.00,1.71,2.08,1.99
6.88,1.55,1.71,3.26
4.75,1.72,45.60,1.74
4.94,3.92,11.80,1.77
5.05,1.76,1.63,1.71
5.23,1.67,1.82,1.78
5.86,1.86,5.32,1.94
5.56,4.24,1.54,1.98
4.37,1.72,1.77,1.52
4.77,3.01,1.57,1.75
4.90,2.80,1.50,2.91
4.91,2.15,4.04,2.35